APP,SL,HOSTNAME,IP,APP_NAME,PUBLIC_IP,HAPROXY_PORT,LB_IP,PUBLIC_URL,API,ENVIRONMENT,TOMCAT_NAME,TOMCAT_PORT,CONFIG_MAP,WEBAPP_PATH,WAR_DEPLOYED,LOGS_PATH,DATABASE,DB_SERVER_READ,DB_SERVER_WRITE,LISTENING_IP,LISTENING_PORT,SERVICE_NAME,SERVICE_PATH,PROGRAMMING_LANGUAGE,PROGRAMMING_LANGUAGE_VERSION,ORGANISATION_NAME,PROJECT_NAME,INFORMATION_TYPE,,,,,,,,,,,,,,,,
app,1,Checkpost1,10.249.221.21,CheckpostApp1,164.100.69.3,80,10.249.221.116,checkpost.parivahan.gov.in/,CheckpostWebService,Staging,"tcat_checkpost_8083
tcat_checkpost_8084
tcat_checkpost_8085","8083
8084
8085","server.XML
https://gitlab.com/configmap/NA/-/blob/main/server.XML
context.XML
https://gitlab.com/configmap/NA/-/blob/main/Context.XML 
web.XML
https://gitlab.com/configmap/NA/-/blob/main/web.xml","/u01/tcat_checkpost_8083/webapps
/u01/tcat_checkpost_8084/webapps
/u01/tcat_checkpost_8085/webapps",CheckpostApp1.war,"/u01/tcat_checkpost_8083/logs
/u01/tcat_checkpost_8084/logs
/u01/tcat_checkpost_8085/logs",Postgres,"10.246.40.182:5432
10.242.36.129:5432
10.242.36.130:5432",10.246.40.186:5433,127.0.0.1,25,"master
cvd
nimbus(contro
nimbus(spoole
ClMgrS
zabbix_agentd
cvd
nimbus(hdb)
nimbus(proces
nimbus(cdm)
cam
nimbus(logmon","/usr/libexec/postfix/master -w
/opt/commvault/Base/cvd
nimbus(controller)
nimbus(spooler)
/opt/commvault/Base/ClMgrS
/usr/sbin/zabbix_agentd -c /etc/zabbix/zabbix_agentd.conf
/opt/commvault/Base/cvd
nimbus(hdb)
nimbus(processes)
nimbus(cdm)
cam
nimbus(logmon)",java,1.8,NIC,eTransport,APP,,,,,,,,,,,,,,,,
app,2,Checkpost2,10.249.221.22,CheckpostApp2,164.100.69.3,80,10.249.221.116,checkpost.parivahan.gov.in/,CheckpostWebService,Staging,"tcat_checkpost_8083
tcat_checkpost_8084
tcat_checkpost_8085","8083
8084
8085","server.XML
https://gitlab.com/configmap/NA/-/blob/main/server.XML
context.XML
https://gitlab.com/configmap/NA/-/blob/main/Context.XML 
web.XML
https://gitlab.com/configmap/NA/-/blob/main/web.xml","/u01/tcat_checkpost_8083/webapps
/u01/tcat_checkpost_8084/webapps
/u01/tcat_checkpost_8085/webapps",CheckpostApp2.war,"/u01/tcat_checkpost_8083/logs
/u01/tcat_checkpost_8084/logs
/u01/tcat_checkpost_8085/logs",Postgres,"10.246.40.182:5432
10.242.36.129:5432
10.242.36.130:5432",10.246.40.186:5433,127.0.0.1,31,"Master
cvd
nimbus(contro
nimbus(spoole
cvfwd
zabbix_agentd
cvd
nimbus(logmon
nimbus(proces
cvfwd 
nimbus(cdm)
cam","/usr/libexec/postfix/master -w
/opt/commvault/Base/cvd
nimbus(controller)
nimbus(spooler)
/opt/commvault/Base/cvfwd
/usr/sbin/zabbix_agentd -c /etc/zabbix/zabbix_agentd.conf
/opt/commvault/Base/cvd
nimbus(logmon)
nimbus(processes)
/opt/commvault/Base/cvfwd
nimbus(cdm)
cam",php,7.2,NIC,eTransport,APP,,,,,,,,,,,,,,,,
